test	status	suite	shard	exit	cycles	wall_s	perm	detail
test_bpred_unit_cl.TestPlaceholderAllocation::test_placeholder_allocates_entry_after_anchor	FAIL	block-BPredUnit	none			0		AssertionError: StorageManager: alloc buffer full (cfg_max_allocs_per_cycle=2) self = <BPredUnit.test_bpred_unit_cl.TestPlaceholderAllocation object at 0x7efca0fbf350>      def test_placeholder_allocates_entry_after_anchor(self):         """Type=2 squash inserts a placeholder entry after the anchor.              Predict two branches (anchor + younger), then issue type=2 squash         with bb_idx=
test_bpred_unit_cl.TestPlaceholderAllocation::test_placeholder_clones_cpred_checkpoint	PASS	block-BPredUnit	none			0		
test_bpred_unit_cl.TestPlaceholderAllocation::test_placeholder_commit_time_corrective_squash	FAIL	block-BPredUnit	none			0		assert 3 == 2  +  where 3 = _count_entries(s.hist_buf)  +    where s.hist_buf = s.hist_buf self = <BPredUnit.test_bpred_unit_cl.TestPlaceholderAllocation object at 0x7efca0ef45c0>      def test_placeholder_commit_time_corrective_squash(self):         """After placeholder allocation, commit-time type=1 corrective squash works.              The placeholder entry has valid condBbIdx from cloning, so 
test_bpred_unit_cl.TestPlaceholderAllocation::test_placeholder_no_squash_to	FAIL	block-BPredUnit	none			0		AssertionError: StorageManager: alloc buffer full (cfg_max_allocs_per_cycle=2) self = <BPredUnit.test_bpred_unit_cl.TestPlaceholderAllocation object at 0x7efca0ef77d0>      def test_placeholder_no_squash_to(self):         """Type=2 squash does NOT squash younger entries.              Unlike type=0/1, type=2 should not remove any existing entries.         All entries should remain intact after plac
test_bpred_unit_cl.TestPlaceholderAllocation::test_placeholder_updates_btb	PASS	block-BPredUnit	none			0		
test_bpred_unit_cl.TestRAS::test_predict_call_pushes_ras	PASS	block-BPredUnit	none			0		
test_bpred_unit_cl.TestRAS::test_predict_return_pops_ras	FAIL	block-BPredUnit	none			0		AssertionError: StorageManager: alloc buffer full (cfg_max_allocs_per_cycle=2) self = <BPredUnit.test_bpred_unit_cl.TestRAS object at 0x7efca0ef4140>      def test_predict_return_pops_ras(self):         """Return pops RAS, targetProvider=RAS.              When the BTB identifies a return instruction, the predictor should         pop the RAS. The target should come from the RAS (targetProvider=RAS)
test_bpred_unit_cl.TestSkipBTBUpdateNoRequiresBTBHit::test_btb_update_skip_logic	FAIL	block-BPredUnit	none			0		AssertionError: call should add BTB entry assert 2 == (0 + 1)  +  where 2 = <function TestSkipBTBUpdateNoRequiresBTBHit.test_btb_update_skip_logic.<locals>.btb_entry_count at 0x7efca05b2340>() self = <BPredUnit.test_bpred_unit_cl.TestSkipBTBUpdateNoRequiresBTBHit object at 0x7efca0fbe030>      def test_btb_update_skip_logic(self):         """Test BTB update skip logic: call → updated, return → ski
test_bpred_unit_cl.TestSquash::test_corrective_squash_corrects_mispredict	PASS	block-BPredUnit	none			0		
test_bpred_unit_cl.TestSquash::test_simple_squash_removes_younger_entries	FAIL	block-BPredUnit	none			0		AssertionError: StorageManager: alloc buffer full (cfg_max_allocs_per_cycle=2) self = <BPredUnit.test_bpred_unit_cl.TestSquash object at 0x7efca0ef4b60>      def test_simple_squash_removes_younger_entries(self):         """Simple squash keeps the anchor entry and frees all younger entries.              Predict two branches, then squash to the first entry's bb_idx.         The first entry (anchor) 
test_bpred_unit_cl.TestTargetPriority::test_no_target_forces_not_taken	PASS	block-BPredUnit	none			0		
test_bpred_unit_cl.TestTargetPriority::test_ras_overrides_btb_target	FAIL	block-BPredUnit	none			0		AssertionError: StorageManager: alloc buffer full (cfg_max_allocs_per_cycle=2) self = <BPredUnit.test_bpred_unit_cl.TestTargetPriority object at 0x7efca0ef44d0>      def test_ras_overrides_btb_target(self):         """Return overrides BTB target with RAS target.              When a return instruction is predicted, the RAS target should         override the BTB target. targetProvider should be RAS.
test_bpred_unit_cl.TestUpdate::test_update_commits_oldest_entries	FAIL	block-BPredUnit	none			0		AssertionError: StorageManager: alloc buffer full (cfg_max_allocs_per_cycle=2) self = <BPredUnit.test_bpred_unit_cl.TestUpdate object at 0x7efca0ef5250>      def test_update_commits_oldest_entries(self):         """Update commits entries from head up to bb_idx boundary.              Predict two branches, then update with bb_idx of the first         entry. The walk commits entries from head up to a
test_bpu_update_train_cl.TestBPUTrainPipeline::test_combined_training_pipeline	FAIL	block-BPredUnit	none			0		AssertionError: cycle 13: should be not-taken assert True is False  +  where True = BPUPredictResp(bpu_predict_resp_valid=True, bpu_predict_taken=True, bpu_predict_target=4096, bpu_predict_bb_idx=0, bpu_hist_full=False, bpu_predict_req_ready=True).bpu_predict_taken self = <BPredUnit.test_bpu_update_train_cl.TestBPUTrainPipeline object at 0x7efca0ef40e0>      def test_combined_training_pipeline(sel
test_bpu_update_train_cl.TestBPUTrainPipeline::test_combined_training_pipeline_commit_mode	FAIL	block-BPredUnit	none			0		AssertionError: cycle 2: should be not-taken assert True is False  +  where True = BPUPredictResp(bpu_predict_resp_valid=True, bpu_predict_taken=True, bpu_predict_target=4096, bpu_predict_bb_idx=0, bpu_hist_full=False, bpu_predict_req_ready=True).bpu_predict_taken self = <BPredUnit.test_bpu_update_train_cl.TestBPUTrainPipeline object at 0x7efca0ef4b90>      def test_combined_training_pipeline_comm
test_btb_cl.TestBTBAccess::test_access_different_pc_misses	PASS	block-BPredUnit	none			0		
test_btb_cl.TestBTBAccess::test_access_hit_after_install	PASS	block-BPredUnit	none			0		
test_btb_cl.TestBTBAccess::test_access_miss_returns_no_hit	PASS	block-BPredUnit	none			0		
test_btb_cl.TestBTBAccess::test_access_returns_branch_metadata	PASS	block-BPredUnit	none			0		
test_btb_cl.TestBTBFlush::test_flush_invalidates_all_entries	PASS	block-BPredUnit	none			0		
test_btb_cl.TestBTBUpdate::test_update_req_buffers_update	PASS	block-BPredUnit	none			0		
test_gshare_cl.TestGshareLookup::test_initial_prediction_is_not_taken	PASS	block-BPredUnit	none			0		
test_gshare_cl.TestGshareLookup::test_lookup_allocates_checkpoint	PASS	block-BPredUnit	none			0		
test_gshare_cl.TestGshareLookup::test_lookup_invalid_returns_default	PASS	block-BPredUnit	none			0		
test_gshare_cl.TestGshareLookup::test_lookup_returns_taken_or_not_taken	PASS	block-BPredUnit	none			0		
test_gshare_cl.TestGshareSquash::test_squash_releases_checkpoint	PASS	block-BPredUnit	none			0		
test_gshare_cl.TestGshareSquash::test_squash_restores_ghr	PASS	block-BPredUnit	none			0		
test_gshare_cl.TestGshareTrain::test_train_commit_does_not_update_counter_in_squash_mode	PASS	block-BPredUnit	none			0		
test_gshare_cl.TestGshareTrain::test_train_consumes_checkpoint	PASS	block-BPredUnit	none			0		
test_gshare_cl.TestGshareTrain::test_train_decrements_counter_on_not_taken	PASS	block-BPredUnit	none			0		
test_gshare_cl.TestGshareTrain::test_train_increments_counter_on_taken	PASS	block-BPredUnit	none			0		
test_gshare_cl.TestGshareTrainSquashed::test_train_squashed_does_not_update_counter_in_commit_mode	PASS	block-BPredUnit	none			0		
test_gshare_cl.TestGshareTrainSquashed::test_train_squashed_not_taken_replays_direction	PASS	block-BPredUnit	none			0		
test_gshare_cl.TestGshareTrainSquashed::test_train_squashed_releases_checkpoint	PASS	block-BPredUnit	none			0		
test_gshare_cl.TestGshareTrainSquashed::test_train_squashed_restores_ghr_and_updates_counter	PASS	block-BPredUnit	none			0		
test_gshare_cl.TestGshareTrainSquashed::test_train_squashed_updates_counter_in_squash_mode	PASS	block-BPredUnit	none			0		
test_gshare_cl.TestGshareUpdateHist::test_update_hist_masks_ghr_width	PASS	block-BPredUnit	none			0		
test_gshare_cl.TestGshareUpdateHist::test_update_hist_shifts_ghr_not_taken	PASS	block-BPredUnit	none			0		
test_gshare_cl.TestGshareUpdateHist::test_update_hist_shifts_ghr_taken	PASS	block-BPredUnit	none			0		
test_indirect_pred_cl.TestIPredCommit::test_commit_does_not_crash	PASS	block-BPredUnit	none			0		
test_indirect_pred_cl.TestIPredCorrect::test_correct_installs_target_in_cache	PASS	block-BPredUnit	none			0		
test_indirect_pred_cl.TestIPredLookup::test_lookup_miss_returns_no_hit	PASS	block-BPredUnit	none			0		
test_indirect_pred_cl.TestIPredLookup::test_lookup_returns_bb_idx	PASS	block-BPredUnit	none			0		
test_indirect_pred_cl.TestIPredSquash::test_squash_restores_ghr	PASS	block-BPredUnit	none			0		
test_ras_cl.TestRASCommit::test_commit_preserves_ras_state	PASS	block-BPredUnit	none			0		
test_ras_cl.TestRASCommit::test_commit_releases_checkpoint	PASS	block-BPredUnit	none			0		
test_ras_cl.TestRASPop::test_pop_empty_returns_empty	PASS	block-BPredUnit	none			0		
test_ras_cl.TestRASPop::test_pop_lifo_ordering	PASS	block-BPredUnit	none			0		
test_ras_cl.TestRASPop::test_pop_returns_hist_idx	PASS	block-BPredUnit	none			0		
test_ras_cl.TestRASPop::test_pop_returns_last_pushed	PASS	block-BPredUnit	none			0		
test_ras_cl.TestRASPush::test_push_allocates_checkpoint	PASS	block-BPredUnit	none			0		
test_ras_cl.TestRASPush::test_push_increments_tos	PASS	block-BPredUnit	none			0		
test_ras_cl.TestRASPush::test_push_returns_hist_idx	PASS	block-BPredUnit	none			0		
test_ras_cl.TestRASPush::test_push_stores_return_address	PASS	block-BPredUnit	none			0		
test_ras_cl.TestRASSquash::test_squash_undoes_push	PASS	block-BPredUnit	none			0		
test_ras_cl.TestRASSquash::test_squash_undoes_younger_push_keeps_older	PASS	block-BPredUnit	none			0		
test_tage_cl.TestTAGELookup::test_lookup_allocates_checkpoint	PASS	block-BPredUnit	none			0		
test_tage_cl.TestTAGELookup::test_lookup_returns_prediction	PASS	block-BPredUnit	none			0		
test_tage_cl.TestTAGELookup::test_lookup_uses_base_table_on_no_tagged_hit	PASS	block-BPredUnit	none			0		
test_tage_cl.TestTAGESquash::test_squash_releases_checkpoint	PASS	block-BPredUnit	none			0		
test_tage_cl.TestTAGESquash::test_squash_restores_ghr_and_path_hist	PASS	block-BPredUnit	none			0		
test_tage_cl.TestTAGETrainSquashed::test_train_squashed_does_not_update_base_table	PASS	block-BPredUnit	none			0		
test_tage_cl.TestTAGETrainSquashed::test_train_squashed_not_taken_replays_direction	PASS	block-BPredUnit	none			0		
test_tage_cl.TestTAGETrainSquashed::test_train_squashed_releases_checkpoint	PASS	block-BPredUnit	none			0		
